complexity,bm25_mean,embeddings_mean,change,change_pct,t_stat,p_value,regression_detected,significant
simple,0.5454545454545454,0.8181818181818182,0.2727272727272728,50.00000000000002,2.057983021710106,0.04781392195249926,False,True
complex,0.75,0.25,-0.5,-66.66666666666666,-3.3166247903554,0.006872303308921115,True,True
