comparison,t_statistic,p_value,significant,mean_1,mean_2,diff
uniform vs language_aware,0.0,1.0,False,0.8333333333333334,0.8333333333333334,0.0
uniform vs fairness_aware,0.0,1.0,False,0.8333333333333334,0.8333333333333334,0.0
language_aware vs fairness_aware,0.0,1.0,False,0.8333333333333334,0.8333333333333334,0.0
